Size, Seq, Par, Libc
100000, 0.029503, 0.082005, 0.033686
100000, 0.030744, 0.075778, 0.033584
100000, 0.029346, 0.075906, 0.034166
100000, 0.037569, 0.083844, 0.033877
100000, 0.030710, 0.076957, 0.033988
100000, 0.030213, 0.067952, 0.034087
100000, 0.029176, 0.072171, 0.034109
100000, 0.030372, 0.064622, 0.036466
100000, 0.030259, 0.065453, 0.034722
100000, 0.030079, 0.063165, 0.034180
200000, 0.072472, 0.085226, 0.071347
200000, 0.061456, 0.086036, 0.076092
200000, 0.061483, 0.100440, 0.070437
200000, 0.059912, 0.097485, 0.069020
200000, 0.061971, 0.094068, 0.070795
200000, 0.060304, 0.098936, 0.072175
200000, 0.059393, 0.105376, 0.070390
200000, 0.060515, 0.086641, 0.070666
200000, 0.059487, 0.091472, 0.071056
200000, 0.073731, 0.087262, 0.071095
300000, 0.099668, 0.123154, 0.123730
300000, 0.097608, 0.133172, 0.109334
300000, 0.098097, 0.120274, 0.111309
300000, 0.096764, 0.093309, 0.112436
300000, 0.095535, 0.114623, 0.107786
300000, 0.096312, 0.095633, 0.112425
300000, 0.096695, 0.131381, 0.107822
300000, 0.097708, 0.134036, 0.106718
300000, 0.096121, 0.130248, 0.109113
300000, 0.091350, 0.131226, 0.119813
400000, 0.131275, 0.139478, 0.146715
400000, 0.127627, 0.127543, 0.146625
400000, 0.124618, 0.130937, 0.147633
400000, 0.125057, 0.140753, 0.146439
400000, 0.127318, 0.152665, 0.146291
400000, 0.127794, 0.152796, 0.147510
400000, 0.126956, 0.135755, 0.161797
400000, 0.146415, 0.152404, 0.144207
400000, 0.128844, 0.130746, 0.146576
400000, 0.129445, 0.125866, 0.146661
500000, 0.173166, 0.167248, 0.185137
500000, 0.172707, 0.180519, 0.186301
500000, 0.158503, 0.156673, 0.194417
500000, 0.155313, 0.168982, 0.186736
500000, 0.161362, 0.184714, 0.190001
500000, 0.175042, 0.166598, 0.186245
500000, 0.159603, 0.166527, 0.187386
500000, 0.163781, 0.181542, 0.189335
500000, 0.165395, 0.170046, 0.186898
500000, 0.189414, 0.161502, 0.188654
600000, 0.195281, 0.177318, 0.227922
600000, 0.195975, 0.203657, 0.228029
600000, 0.210010, 0.178585, 0.225864
600000, 0.205890, 0.182407, 0.227275
600000, 0.198009, 0.208274, 0.228646
600000, 0.194097, 0.186278, 0.228275
600000, 0.195801, 0.203012, 0.226067
600000, 0.198715, 0.202679, 0.231233
600000, 0.198438, 0.206886, 0.226104
600000, 0.201389, 0.186410, 0.229670
700000, 0.229194, 0.236112, 0.269150
700000, 0.238322, 0.194691, 0.277729
700000, 0.236562, 0.216234, 0.265568
700000, 0.242331, 0.212015, 0.270513
700000, 0.238779, 0.227391, 0.269674
700000, 0.257477, 0.231036, 0.271093
700000, 0.249767, 0.187794, 0.268985
700000, 0.254265, 0.210126, 0.270534
700000, 0.226589, 0.198645, 0.286000
700000, 0.231539, 0.227313, 0.269413
800000, 0.294742, 0.226426, 0.314021
800000, 0.268259, 0.222678, 0.332920
800000, 0.263278, 0.235001, 0.312064
800000, 0.271581, 0.246981, 0.308896
800000, 0.274442, 0.255621, 0.369267
800000, 0.308136, 0.279370, 0.389876
800000, 0.329662, 0.261232, 0.370552
800000, 0.300209, 0.245060, 0.339155
800000, 0.379880, 0.238499, 0.327584
800000, 0.316972, 0.320218, 0.320806
