Size, Type, Time
100000, "Sequential", 0.029027
100000, "Parallel", 0.070685
100000, "Built-in", 0.034223
100000, "Sequential", 0.028921
100000, "Parallel", 0.089566
100000, "Built-in", 0.033894
100000, "Sequential", 0.028811
100000, "Parallel", 0.075874
100000, "Built-in", 0.033989
100000, "Sequential", 0.029515
100000, "Parallel", 0.073586
100000, "Built-in", 0.034587
100000, "Sequential", 0.028596
100000, "Parallel", 0.089828
100000, "Built-in", 0.033350
100000, "Sequential", 0.028439
100000, "Parallel", 0.078750
100000, "Built-in", 0.033453
100000, "Sequential", 0.029883
100000, "Parallel", 0.119550
100000, "Built-in", 0.033870
100000, "Sequential", 0.028259
100000, "Parallel", 0.075967
100000, "Built-in", 0.034547
100000, "Sequential", 0.028400
100000, "Parallel", 0.077801
100000, "Built-in", 0.033702
100000, "Sequential", 0.028799
100000, "Parallel", 0.080674
100000, "Built-in", 0.034090
100000, "Sequential", 0.029224
100000, "Parallel", 0.077895
100000, "Built-in", 0.033015
100000, "Sequential", 0.028544
100000, "Parallel", 0.085846
100000, "Built-in", 0.033919
100000, "Sequential", 0.029568
100000, "Parallel", 0.082079
100000, "Built-in", 0.033064
100000, "Sequential", 0.029610
100000, "Parallel", 0.073539
100000, "Built-in", 0.032884
100000, "Sequential", 0.028553
100000, "Parallel", 0.082630
100000, "Built-in", 0.033881
100000, "Sequential", 0.030416
100000, "Parallel", 0.092877
100000, "Built-in", 0.041564
100000, "Sequential", 0.032938
100000, "Parallel", 0.091981
100000, "Built-in", 0.036726
100000, "Sequential", 0.030896
100000, "Parallel", 0.090079
100000, "Built-in", 0.032754
100000, "Sequential", 0.028447
100000, "Parallel", 0.094419
100000, "Built-in", 0.034681
100000, "Sequential", 0.028565
100000, "Parallel", 0.074802
100000, "Built-in", 0.033801
100000, "Sequential", 0.028203
100000, "Parallel", 0.065012
100000, "Built-in", 0.033551
100000, "Sequential", 0.027912
100000, "Parallel", 0.064315
100000, "Built-in", 0.032806
100000, "Sequential", 0.027698
100000, "Parallel", 0.067957
100000, "Built-in", 0.033043
100000, "Sequential", 0.029222
100000, "Parallel", 0.081231
100000, "Built-in", 0.033947
100000, "Sequential", 0.028721
100000, "Parallel", 0.082033
100000, "Built-in", 0.032723
100000, "Sequential", 0.028693
100000, "Parallel", 0.086067
100000, "Built-in", 0.032801
100000, "Sequential", 0.028923
100000, "Parallel", 0.085348
100000, "Built-in", 0.033363
100000, "Sequential", 0.029354
100000, "Parallel", 0.081210
100000, "Built-in", 0.032889
100000, "Sequential", 0.028915
100000, "Parallel", 0.089155
100000, "Built-in", 0.033366
100000, "Sequential", 0.028768
100000, "Parallel", 0.075380
100000, "Built-in", 0.034130
200000, "Sequential", 0.062110
200000, "Parallel", 0.104418
200000, "Built-in", 0.072052
200000, "Sequential", 0.065934
200000, "Parallel", 0.101720
200000, "Built-in", 0.069485
200000, "Sequential", 0.072484
200000, "Parallel", 0.107426
200000, "Built-in", 0.070559
200000, "Sequential", 0.062682
200000, "Parallel", 0.108953
200000, "Built-in", 0.070007
200000, "Sequential", 0.069052
200000, "Parallel", 0.144328
200000, "Built-in", 0.081359
200000, "Sequential", 0.063895
200000, "Parallel", 0.104805
200000, "Built-in", 0.071421
200000, "Sequential", 0.070098
200000, "Parallel", 0.101506
200000, "Built-in", 0.070445
200000, "Sequential", 0.063201
200000, "Parallel", 0.106628
200000, "Built-in", 0.071990
200000, "Sequential", 0.059902
200000, "Parallel", 0.110839
200000, "Built-in", 0.070617
200000, "Sequential", 0.060039
200000, "Parallel", 0.104212
200000, "Built-in", 0.071184
200000, "Sequential", 0.061359
200000, "Parallel", 0.096323
200000, "Built-in", 0.073470
200000, "Sequential", 0.101868
200000, "Parallel", 0.138322
200000, "Built-in", 0.085785
200000, "Sequential", 0.062299
200000, "Parallel", 0.104123
200000, "Built-in", 0.070164
200000, "Sequential", 0.064325
200000, "Parallel", 0.083666
200000, "Built-in", 0.076077
200000, "Sequential", 0.062228
200000, "Parallel", 0.100420
200000, "Built-in", 0.069893
200000, "Sequential", 0.059944
200000, "Parallel", 0.101774
200000, "Built-in", 0.070847
200000, "Sequential", 0.059766
200000, "Parallel", 0.099692
200000, "Built-in", 0.073629
200000, "Sequential", 0.060765
200000, "Parallel", 0.100179
200000, "Built-in", 0.071599
200000, "Sequential", 0.072551
200000, "Parallel", 0.128890
